TOB,previous,minn6,maxx6,minn11,maxx11
accretion,stable,low,mid,mid,low
accretion,stable,low,mid,mid,low
accretion,stable,low,mid,mid,low
accretion,stable,low,mid,mid,low
accretion,stable,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
accretion,accretion,low,mid,mid,low
erosion,stable,low,mid,mid,low
stable,stable,low,mid,mid,low
stable,stable,low,mid,mid,low
erosion,stable,low,mid,mid,low
stable,stable,low,mid,mid,low
erosion,stable,low,mid,mid,low
stable,stable,low,mid,mid,low
stable,stable,low,mid,mid,low
stable,stable,low,mid,mid,low
accretion,accretion,low,high,mid,low
accretion,accretion,low,high,mid,low
erosion,stable,low,high,mid,low
erosion,stable,low,high,mid,low
stable,stable,low,high,mid,low
stable,accretion,low,high,mid,low
erosion,stable,low,high,mid,low
accretion,stable,low,high,mid,low
accretion,accretion,low,high,mid,low
accretion,accretion,low,high,mid,low
stable,accretion,low,high,mid,low
accretion,accretion,low,high,mid,low
stable,accretion,low,high,mid,low
accretion,erosion,low,high,mid,low
stable,accretion,low,high,mid,low
accretion,erosion,low,high,mid,low
accretion,stable,low,high,mid,low
accretion,accretion,low,high,mid,low
erosion,erosion,low,high,mid,low
erosion,erosion,low,high,mid,low
erosion,accretion,low,high,mid,low
erosion,accretion,low,high,mid,low
accretion,accretion,low,high,mid,low
accretion,erosion,low,high,mid,low
accretion,accretion,low,high,mid,low
accretion,erosion,low,high,mid,low
accretion,erosion,low,high,mid,low
erosion,stable,low,high,mid,low
erosion,erosion,low,high,mid,low
accretion,erosion,low,high,mid,low
stable,accretion,low,high,mid,low
erosion,accretion,low,high,mid,low
accretion,erosion,low,high,mid,low
accretion,accretion,low,high,mid,low
accretion,stable,low,high,mid,low
accretion,accretion,low,high,mid,low
erosion,accretion,low,high,mid,low
stable,accretion,low,high,mid,low
accretion,accretion,low,high,high,mid
erosion,accretion,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,erosion,low,high,high,mid
stable,erosion,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,stable,low,high,high,mid
stable,erosion,low,high,high,mid
erosion,accretion,low,high,high,mid
erosion,stable,low,high,high,mid
erosion,erosion,low,high,high,mid
erosion,erosion,low,high,high,mid
erosion,erosion,low,high,high,mid
erosion,erosion,low,high,high,mid
erosion,accretion,low,high,high,mid
erosion,erosion,low,high,high,mid
stable,stable,low,high,high,mid
erosion,stable,low,high,high,mid
erosion,stable,low,high,high,mid
stable,erosion,low,high,high,mid
erosion,erosion,low,high,high,mid
erosion,erosion,low,high,high,mid
erosion,erosion,low,high,high,mid
stable,erosion,low,high,high,mid
stable,erosion,low,high,high,mid
stable,erosion,low,high,high,mid
stable,stable,low,high,high,mid
stable,erosion,low,high,high,mid
stable,erosion,low,high,high,mid
stable,erosion,low,high,high,mid
stable,erosion,low,high,high,mid
stable,stable,low,mid,low,mid
erosion,erosion,low,mid,low,mid
erosion,erosion,low,mid,low,mid
erosion,erosion,low,mid,low,mid
erosion,erosion,low,mid,low,mid
erosion,erosion,low,mid,low,mid
erosion,erosion,low,mid,low,mid
accretion,stable,low,mid,low,mid
erosion,erosion,low,mid,low,mid
accretion,erosion,low,mid,low,mid
accretion,erosion,low,mid,low,mid
stable,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,erosion,low,mid,low,mid
erosion,erosion,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,erosion,low,mid,low,mid
erosion,erosion,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,stable,low,mid,low,mid
erosion,erosion,low,mid,low,mid
stable,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
stable,stable,low,mid,low,mid
erosion,erosion,low,mid,low,mid
accretion,accretion,high,low,low,high
stable,accretion,high,low,low,high
stable,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
stable,accretion,high,low,low,high
accretion,accretion,high,low,low,high
stable,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
erosion,accretion,high,low,low,high
erosion,accretion,high,low,low,high
erosion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
erosion,accretion,high,low,low,high
erosion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
erosion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,accretion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
accretion,erosion,high,low,low,high
stable,stable,high,low,low,high
erosion,accretion,high,low,low,high
accretion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
stable,erosion,high,low,low,high
stable,erosion,high,low,low,high
erosion,erosion,high,low,low,high
stable,erosion,high,low,low,high
stable,accretion,high,low,low,high
stable,accretion,high,low,low,high
erosion,erosion,high,low,low,high
stable,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
stable,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,stable,high,low,low,high
stable,erosion,high,low,low,high
erosion,erosion,high,low,low,high
accretion,accretion,high,low,low,high
accretion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,stable,high,low,low,high
erosion,accretion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,accretion,high,low,low,high
stable,stable,high,low,low,high
erosion,erosion,mid,low,mid,mid
erosion,accretion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
accretion,erosion,mid,low,mid,mid
accretion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
accretion,accretion,mid,low,mid,mid
stable,accretion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
stable,accretion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
stable,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
stable,stable,mid,low,mid,mid
stable,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
stable,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,stable,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,mid,low,mid,mid
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
stable,accretion,low,high,high,low
accretion,accretion,low,high,high,low
accretion,accretion,low,high,high,low
erosion,erosion,low,high,high,low
stable,stable,low,high,high,low
accretion,stable,low,high,high,low
erosion,erosion,low,high,high,low
stable,erosion,low,high,high,low
accretion,accretion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
erosion,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
accretion,stable,low,high,high,low
stable,stable,low,high,high,low
erosion,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
erosion,erosion,low,high,high,low
stable,erosion,low,high,high,low
erosion,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,erosion,low,high,high,low
accretion,accretion,low,high,high,low
accretion,erosion,low,high,high,low
stable,erosion,low,high,high,low
stable,accretion,low,high,high,low
accretion,accretion,low,high,high,low
accretion,accretion,low,high,high,low
stable,stable,low,high,high,low
accretion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,stable,low,high,high,low
erosion,accretion,low,high,high,low
stable,accretion,low,high,high,low
accretion,accretion,low,high,high,low
accretion,accretion,low,high,high,low
erosion,accretion,low,high,high,low
accretion,accretion,low,high,high,low
erosion,accretion,low,high,high,low
erosion,accretion,low,high,high,low
stable,accretion,low,high,high,low
accretion,accretion,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
erosion,accretion,low,high,high,low
stable,accretion,low,high,high,low
accretion,accretion,low,high,high,low
erosion,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,accretion,low,high,high,low
erosion,erosion,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
erosion,erosion,low,high,high,low
erosion,stable,high,mid,low,high
erosion,accretion,high,mid,low,high
accretion,stable,high,mid,low,high
accretion,stable,high,mid,low,high
accretion,stable,high,mid,low,high
erosion,stable,high,mid,low,high
erosion,stable,high,mid,low,high
stable,erosion,high,mid,low,high
accretion,erosion,high,mid,low,high
accretion,accretion,high,mid,low,high
accretion,erosion,high,mid,low,high
stable,erosion,high,mid,low,high
erosion,erosion,high,mid,low,high
accretion,accretion,high,mid,low,high
accretion,stable,high,mid,low,high
stable,erosion,high,mid,low,high
accretion,stable,high,mid,low,high
accretion,erosion,high,mid,low,high
accretion,erosion,high,mid,low,high
erosion,accretion,high,mid,low,high
erosion,erosion,high,mid,low,high
stable,stable,high,mid,low,high
stable,stable,high,mid,low,high
accretion,erosion,high,mid,low,high
accretion,stable,high,mid,low,high
accretion,stable,high,mid,low,high
stable,stable,high,mid,low,high
accretion,accretion,high,mid,low,high
accretion,accretion,high,mid,low,high
accretion,erosion,high,mid,low,high
accretion,accretion,high,mid,high,mid
accretion,erosion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
erosion,erosion,high,mid,high,mid
stable,accretion,high,mid,high,mid
erosion,erosion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
erosion,accretion,high,mid,high,mid
stable,accretion,high,mid,high,mid
erosion,accretion,high,mid,high,mid
stable,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
stable,accretion,high,mid,high,mid
stable,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
stable,erosion,high,mid,high,mid
stable,stable,high,mid,high,mid
accretion,accretion,high,mid,high,mid
stable,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,erosion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
erosion,accretion,high,mid,high,mid
erosion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
erosion,accretion,high,mid,high,mid
stable,erosion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,erosion,high,mid,high,mid
accretion,erosion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
accretion,accretion,high,mid,high,mid
erosion,stable,mid,mid,high,low
accretion,accretion,mid,mid,high,low
erosion,erosion,mid,mid,high,low
stable,accretion,mid,mid,high,low
erosion,stable,mid,mid,high,low
stable,stable,mid,mid,high,low
stable,stable,mid,mid,high,low
stable,accretion,mid,mid,high,low
accretion,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
accretion,accretion,mid,mid,high,low
accretion,accretion,mid,mid,high,low
accretion,stable,mid,mid,high,low
accretion,accretion,mid,mid,high,low
accretion,stable,mid,mid,high,low
accretion,erosion,mid,mid,high,low
erosion,accretion,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,accretion,mid,mid,high,low
erosion,accretion,mid,mid,high,low
erosion,stable,mid,mid,high,low
accretion,stable,mid,mid,high,low
erosion,accretion,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
accretion,accretion,mid,mid,high,low
erosion,accretion,mid,mid,high,low
stable,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
stable,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
stable,stable,mid,mid,high,low
stable,stable,mid,mid,high,low
stable,stable,mid,mid,high,low
stable,stable,mid,mid,high,low
stable,stable,mid,mid,high,low
erosion,stable,mid,mid,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
stable,accretion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
stable,accretion,low,high,high,low
accretion,erosion,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
stable,erosion,low,high,high,low
stable,stable,low,high,high,low
erosion,stable,low,high,high,low
erosion,stable,low,high,high,low
erosion,stable,low,high,high,low
erosion,erosion,low,high,high,low
stable,stable,low,high,high,low
stable,stable,low,high,high,low
erosion,stable,low,high,high,low
erosion,erosion,low,high,high,low
erosion,stable,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,stable,low,high,high,low
erosion,stable,low,high,high,low
stable,stable,low,high,high,low
accretion,erosion,low,high,high,low
erosion,erosion,low,high,high,low
erosion,erosion,low,mid,mid,mid
accretion,accretion,low,mid,mid,mid
accretion,accretion,low,mid,mid,mid
erosion,stable,low,mid,mid,mid
erosion,stable,low,mid,mid,mid
erosion,stable,low,mid,mid,mid
erosion,stable,low,mid,mid,mid
erosion,stable,low,mid,mid,mid
erosion,stable,low,mid,mid,mid
erosion,stable,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,stable,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,accretion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
stable,stable,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
stable,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
accretion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,erosion,low,mid,mid,mid
erosion,stable,high,low,low,high
stable,accretion,high,low,low,high
erosion,accretion,high,low,low,high
erosion,accretion,high,low,low,high
erosion,accretion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
accretion,erosion,high,low,low,high
accretion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
erosion,erosion,high,low,low,high
