,position,x,x+n,y,y+n,lon,lat,m_shoreline,m_transect,x_avg,y_avg,c_shoreline,c_transect,delta_y,delta_x,x_new,y_new,intersect_distance,transect_angle,avg_slope_change,shoreline_direction,year1,year2,island,proxy,id,square,prev_intersect_distance,previous
106,73,2496042.304257444,2496094.8982036565,-728270.7478483882,-728278.1017772555,-97.24031827537746,-71.25844108499439,-0.13982462615895655,7.151816010315465,2496068.6012305506,-728274.4248128219,-379262.5657786506,-18579697.809939202,990.3655803863688,138.47749703822203,2496207.078727589,-727284.0592324355,-68.66687801716857,82.0402448653758,19.51696258945811,7.959755134624208,2002.375,2003.0416666666667,Nanumea,WM,1,530378282171.6506,0.0,0.0
116,83,2496416.1911388123,2496444.9360165084,-728834.1338645045,-728907.1795761397,-97.22984381130314,-71.2537454291276,-2.5411731581385792,0.3935190314746219,2496430.5635776604,-728870.6567203221,5614991.682599993,-1711263.5942430475,366.1858784634472,930.5417252407082,2497361.105302901,-728504.4708418587,-20.99251095621909,21.480581924262818,3.069633053371665,68.51941807573718,2002.375,2003.0416666666667,Nanumea,WM,1,531199194686.02246,0.0,0.0
107,74,2496094.8982036565,2496118.9889771007,-728278.1017772555,-728335.4620216244,-97.24063131305073,-71.25799852137075,-2.381004682222582,0.4199907742585941,2496106.9435903784,-728306.78189944,5214935.538117548,-1776648.6697702159,387.2252538123237,921.9851424019704,2497028.9287327803,-727919.5566456277,-24.55779637361465,22.781956395402116,9.304525871187053,67.2180436045979,2002.375,2003.0416666666667,Nanumea,WM,1,530388993528.2826,0.0,0.0
126,93,2496858.807871849,2496923.1438425407,-729419.3964257786,-729373.9281454332,-97.21947990997334,-71.24843369340124,0.7067318617635999,-1.4149637990065567,2496890.9758571945,-729396.6622856059,-2494029.070273893,2803613.6786184786,816.6408874718835,577.1461347952827,2496313.8297223994,-728580.0213981341,-3.1936666925321022,-54.74993371551231,51.935437516103164,324.7499337155123,2002.375,2003.0416666666667,Nanumea,WM,1,532052655882.1472,0.0,0.0
125,92,2496783.2435304746,2496858.807871849,-729433.8617020708,-729419.3964257786,-97.21840790474002,-71.24899351556931,0.19142992619417554,-5.2238436271748725,2496821.0257011615,-729426.6290639248,-1207392.8937339638,12313575.974241316,982.1659731821162,188.01595975668312,2496633.0097414046,-728444.4630907427,-10.063237217435107,-79.16297953233,55.6581737142278,349.16297953233,2002.375,2003.0416666666667,Nanumea,WM,1,532073758597.59576,0.0,0.0
103,70,2495990.435982851,2495997.6172620165,-728048.3105470109,-728126.9746652575,-97.24535790445515,-71.25952970808758,-10.954053787894873,0.09129040438938522,2495994.0266224337,-728087.6426061342,26613165.17928031,-955947.9466499861,90.91236141310762,995.8588969037193,2496989.8855193374,-727996.730244721,-16.027650464410122,5.216096735715885,-21.39958588884162,84.7839032642841,2002.375,2003.0416666666667,Nanumea,WM,1,530054342490.35675,0.0,0.0
88,47,2496143.9641670506,2496094.5664167176,-728794.6189749617,-728737.9920093819,-97.22825833935978,-71.25604041062486,-1.1463470542308425,0.8723361710655452,2496119.265291884,-728766.3054921718,2132652.661284034,-2906221.4278998356,657.3669313851202,753.5706453421011,2495365.694646542,-729423.6724235569,22.004307866828555,41.09936783254615,-3.9454545406245343,228.90063216745386,2002.375,2003.0416666666667,Nanumea,WM,1,531141596646.8596,0.0,0.0
89,48,2496094.5664167176,2496040.000478986,-728737.9920093819,-728680.6193767552,-97.22919953755854,-71.2566068471602,-1.0514367572876149,0.9510795519263507,2496067.283447852,-728709.3056930685,1895747.5847870465,-3102667.859212675,689.1605220951582,724.6087046023729,2495342.6747432495,-729398.4662151637,30.109492452088553,43.56369360213397,-6.789667061712115,226.43630639786602,2002.375,2003.0416666666667,Nanumea,WM,1,531059060997.8659,0.0,0.0
90,49,2496040.000478986,2495999.8693402316,-728680.6193767552,-728612.892275181,-97.230110584644,-71.25721683635183,-1.687644648920395,0.5925418011663244,2496019.934909609,-728646.7558259681,3483747.9309228663,-2207642.9038043595,509.77005016390007,860.3106973389873,2495159.62421227,-729156.525876132,30.957984024321114,30.648514114199536,-2.142117818570104,239.35148588580046,2002.375,2003.0416666666667,Nanumea,WM,1,530975445055.29156,0.0,0.0
91,50,2495999.8693402316,2495965.167305912,-728612.892275181,-728541.5367543134,-97.23141514994258,-71.25774288066529,-2.0562345195714813,0.4863258497422754,2495982.5183230718,-728577.2145147473,4403748.19990811,-1942438.0336800795,437.3489019183751,899.2919092212449,2495083.2264138507,-729014.5634166657,19.91255284081799,25.93485260231752,-5.282577602700792,244.0651473976825,2002.375,2003.0416666666667,Nanumea,WM,1,530876746789.60455,0.0,0.0
92,51,2495965.167305912,2495917.5685117724,-728541.5367543134,-728477.9451544051,-97.23286116592134,-71.2582365361687,-1.3359918262213963,0.7485075734544825,2495941.367908842,-728509.7409543593,2606047.5252997046,-2596740.757732468,599.2350560877192,800.573136918513,2495140.794771923,-729108.976010447,12.588899345499721,36.81513219539952,1.6249213508567868,233.1848678046005,2002.375,2003.0416666666667,Nanumea,WM,1,530772770776.33655,0.0,0.0
93,52,2495917.5685117724,2495874.377860871,-728477.9451544051,-728411.4336698538,-97.23399268881829,-71.2588096928363,-1.5399509653894705,0.6493713257597712,2495895.9731863216,-728444.6894121295,3115112.7240078384,-2349207.9664786053,544.6176405282548,838.6844612996217,2495057.2887250218,-728989.3070526577,10.47122943308163,32.99853839672535,6.392306848699018,237.00146160327466,2002.375,2003.0416666666667,Nanumea,WM,1,530680116576.3844,0.0,0.0
94,53,2495874.377860871,2495830.152044685,-728411.4336698538,-728345.6146347283,-97.23523842537685,-71.25935647129879,-1.4882491902163122,0.6719304848771013,2495852.264952778,-728378.524152291,2986071.5880632293,-2405417.7467236225,557.721304850847,830.0282803106581,2495022.236672467,-728936.2454571419,6.303797089890888,33.89835681591376,2.329872793117052,236.10164318408624,2002.375,2003.0416666666667,Nanumea,WM,1,530583216700.97186,0.0,0.0
95,54,2495830.152044685,2495780.5388480956,-728345.6146347283,-728283.7303424288,-97.23645726790791,-71.2599094138727,-1.2473353170834416,0.8017090403070052,2495805.34544639,-728314.6724885786,2384791.4794523427,-2729224.3807794973,625.5077722738675,780.2179354673817,2495025.1275109225,-728940.1802608524,6.105265526693106,38.719466299702184,-1.1449333538516924,231.2805337002978,2002.375,2003.0416666666667,Nanumea,WM,1,530487334357.64014,0.0,0.0
96,55,2495780.5388480956,2495728.1190373367,-728283.7303424288,-728224.4281504455,-97.23752758663018,-71.26049347027045,-1.1312935152718713,0.8839438982903398,2495754.328942716,-728254.0792464372,2095176.6087981584,-2934360.8899470526,662.2915933422614,749.2461847671756,2495005.082757949,-728916.3708397794,16.1697565816495,41.47487778163599,-0.03397309427349082,228.525122218364,2002.375,2003.0416666666667,Nanumea,WM,1,530397191881.4835,0.0,0.0
97,56,2495728.1190373367,2495688.046065081,-728224.4281504455,-728156.9608357842,-97.23850733037006,-71.26109212121884,-1.6836114434100116,0.5939612752777358,2495708.082551209,-728190.6944931148,3473611.9927009577,-2210544.6499261837,510.67305029677436,859.7749913207456,2494848.307559888,-728701.3675434116,35.08149946117816,30.708671689020566,-7.591578484475553,239.29132831097942,2002.375,2003.0416666666667,Nanumea,WM,1,530310817755.0433,0.0,0.0
98,62,2495561.975183499,2495635.6543129836,-727797.5292315884,-727796.7039459429,-97.24755337267203,-71.26371360475169,0.011201077580692735,-89.2771247048317,2495598.8147482416,-727797.1165887656,-755750.5125230455,222072089.4809202,999.9372738328674,11.20037498002827,2495587.6143732616,-726797.1793149328,0.0,-89.35825236650335,9.515805374349185,359.35825236650334,2002.375,2003.0416666666667,Nanumea,WM,1,529689243555.60474,0.0,0.0
99,63,2495635.6543129836,2495707.6868255143,-727796.7039459429,-727796.3075638439,-97.2482684007627,-71.26312729676361,0.005502822060366833,-181.7249384097543,2495671.670569249,-727796.5057548934,-741529.7428791344,452797984.11941046,999.9848598185306,5.5027387466422955,2495666.167830502,-726796.5208950749,0.0,-89.68471470288392,-82.37587505580184,359.6847147028839,2002.375,2003.0416666666667,Nanumea,WM,1,529688042274.5785,0.0,0.0
100,67,2495809.0018746224,2495886.838880888,-727968.4389825054,-727956.3036952746,-97.24563310194316,-71.26122163093865,0.15590639739256887,-6.41410498045197,2495847.9203777555,-727962.3713388899,-1117081.0290447208,15280668.205206763,988.0637610144883,154.0454613739211,2495693.8749163817,-726974.3075778754,-0.3358673664568594,-81.138559650781,7.308639412153262,351.138559650781,2002.375,2003.0416666666667,Nanumea,WM,1,529938048154.6256,0.0,0.0
101,68,2495886.838880888,2495957.657239189,-727956.3036952746,-727976.677008417,-97.24666842938522,-71.26063638292973,-0.28768406429055854,3.4760354295815574,2495922.2480600383,-727966.4903518457,-9929.433876706287,-9403880.654089388,961.0223168279333,276.4708059789886,2496198.718866017,-727005.4680350178,14.421590189295971,73.95031621404422,-21.91994212500905,16.049683785955782,2002.375,2003.0416666666667,Nanumea,WM,1,529920380089.6869,0.0,0.0
102,69,2495957.657239189,2495990.435982851,-727976.677008417,-728048.3105470109,-97.2468294862542,-71.2600087169665,-2.1853655934062584,0.45758934020798436,2495974.04661102,-728012.493777714,4726603.309720998,-1870143.6109427034,416.0955493237612,909.3208970616245,2496883.3675080817,-727596.3982283903,7.1457715141627824,24.588327406412038,-47.457222373815604,65.41167259358797,2002.375,2003.0416666666667,Nanumea,WM,1,529950042268.21704,0.0,0.0
104,71,2495997.6172620165,2496003.057268416,-728126.9746652575,-728205.8184834471,-97.2434703768144,-71.25923393237758,-14.493331882188379,0.06899724701874473,2496000.3372652163,-728166.3965743523,35447194.86946455,-900383.5484035106,68.83359625645065,997.6281551892989,2496997.9654204054,-728097.5629780958,-53.14983963129453,3.946995601591217,28.72595872948395,86.05300439840879,2002.375,2003.0416666666667,Nanumea,WM,1,530168891235.18054,0.0,0.0
86,45,2496242.277933521,2496193.6222155634,-728915.9109295039,-728854.8286241458,-97.22617187134706,-71.25488699350551,-1.2553982948324025,0.7965599476407617,2496217.9500745423,-728885.3697768248,2404862.3882767907,-2717272.6093881316,623.0529741745906,782.1796413690381,2495435.770433173,-729508.4227509995,13.304316872713411,38.53942319544486,7.036737246203481,231.46057680455516,2002.375,2003.0416666666667,Nanumea,WM,1,531318405206.1884,0.0,0.0
105,72,2496003.057268416,2496042.304257444,-728205.8184834471,-728270.7478483882,-97.24156202957252,-71.25895150543121,-1.6543782478359454,0.6044566901844105,2496022.68076293,-728238.2831659176,3401127.3459934373,-2236975.8914050977,517.2974602073568,855.8056658278316,2496878.4864287577,-727720.9857057102,-63.959311499526265,31.151144436355562,8.782929829844118,58.84885556364444,2002.375,2003.0416666666667,Nanumea,WM,1,530283714073.1471,0.0,0.0
87,46,2496193.6222155634,2496143.9641670506,-728854.8286241458,-728794.6189749617,-97.22723063896376,-71.25546102379816,-1.2124852060692666,0.8247523309928717,2496168.793191307,-728824.7237995537,2297743.009796681,-2787545.7545357477,636.2692589396005,771.4670635409211,2495397.326127766,-729460.9930584932,16.826756308851948,39.51418672572969,1.3336331239161279,230.48581327427033,2002.375,2003.0416666666667,Nanumea,WM,1,531229361208.733,0.0,0.0
110,77,2496223.7726353784,2496243.022271245,-728434.9517506179,-728511.2274678383,-97.23794828157912,-71.2564932637832,-3.962449874369469,0.2523691230691282,2496233.397453312,-728473.0896092281,9162726.62252652,-1358445.3231003908,244.69699998356953,969.5995968434811,2497202.9970501554,-728228.3926092446,3.7875681973882007,14.16392808265805,-15.181964499635415,75.83607191734195,2002.375,2003.0416666666667,Nanumea,WM,1,530617478931.9251,0.0,0.0
130,97,2497036.238210233,2497042.0827363483,-729177.0559004782,-729098.2269515253,-97.22717181799128,-71.24775125750737,13.487654498788057,-0.07414187545283397,2497039.160473291,-729137.6414260017,-34408339.10783354,-544002.4749893418,73.93893215709907,997.2627709442821,2496041.8977023466,-729063.7024938446,-3.1550207706076328,-4.24025831351663,25.735633475552216,274.2402583135166,2002.375,2003.0416666666667,Nanumea,WM,1,531699178851.689,0.0,0.0
152,119,2496547.697430693,2496522.5563383526,-727626.2659801273,-727551.1948638184,-97.26109763546546,-71.25635477697182,-2.985992624834981,0.3348970093505386,2496535.126884523,-727588.7304219728,6727046.746096676,-1563670.878154167,317.56191583161524,948.2375386016703,2495586.889345921,-727906.2923378045,-1.3553256540559682,18.515543795093553,6.322003988862722,251.48445620490645,2002.375,2003.0416666666667,Nanumea,WM,1,529439982944.1829,0.0,0.0
153,120,2496522.5563383526,2496496.40499057,-727551.1948638184,-727476.6518937468,-97.26272671218888,-71.2567830093294,-2.85044467656598,0.3508224552545013,2496509.4806644614,-727513.9233787826,6388648.235777731,-1603345.5089516288,331.04172321238417,943.6161176519693,2495565.8645468093,-727844.9651019949,-5.729073951145629,19.33201604108964,-8.591495802788147,250.66798395891036,2002.375,2003.0416666666667,Nanumea,WM,1,529330741147.7698,0.0,0.0
154,121,2496496.40499057,2496478.3759333612,-727476.6518937468,-727399.7001441562,-97.26433322790152,-71.25721770125551,-4.268207078100936,0.2342904132113788,2496487.3904619655,-727438.1760189515,9928086.974340545,-1312341.238307282,228.11325384609532,973.6346046745396,2495513.7558572907,-727666.2892727975,-6.241507415182209,13.186016521570878,-6.012820826146044,256.8139834784291,2002.375,2003.0416666666667,Nanumea,WM,1,529222279050.53564,0.0,0.0
155,122,2496478.3759333612,2496460.8414322617,-727399.7001441562,-727322.440713372,-97.26607616680306,-71.2575947555705,-4.4061379531635945,0.2269561258929723,2496469.6086828113,-727361.0704287641,10272428.421308037,-1293950.1412249594,221.3275085408269,975.1995354608769,2495494.4091473506,-727582.3979373049,-9.20238108091581,12.787015921577403,-5.062843403785843,257.2129840784226,2002.375,2003.0416666666667,Nanumea,WM,1,529110323769.8084,0.0,0.0
156,123,2496460.8414322617,2496451.9168155645,-727322.440713372,-727243.9874298752,-97.26783148295762,-71.25796877074072,-8.790661398489767,0.11375708318964482,2496456.379123913,-727283.2140716235,21218219.510906495,-1011272.8100709419,113.02810405686158,993.5917912771378,2495462.787332636,-727396.2421756804,-10.437967376677621,6.489902142798966,-2.6388150745416383,263.51009785720106,2002.375,2003.0416666666667,Nanumea,WM,1,528997932765.2565,0.0,0.0
157,124,2496451.9168155645,2496439.227521932,-727243.9874298752,-727165.6961641902,-97.26969759968682,-71.25827756783949,-6.16986791808553,0.1620780239182646,2496445.5721687484,-727204.8417970326,14675534.603173602,-1131823.8069536448,159.99023167531692,987.1185976206093,2495458.4535711277,-727364.832028708,-6.193332701096358,9.206329233521943,-12.309610641759969,260.79367076647804,2002.375,2003.0416666666667,Nanumea,WM,1,528883817252.9045,0.0,0.0
158,125,2496439.227521932,2496428.3565937206,-727165.6961641902,-727087.437747101,-97.2715243156687,-71.25861594310466,-7.198871666331688,0.1389106579961534,2496433.792057826,-727126.5669556456,17244379.925562415,-1073907.8276542306,137.5895252485173,990.4893348955795,2495443.3027229304,-727264.1564808941,-12.12897494178146,7.9083863724902566,-8.773791461467273,262.09161362750973,2002.375,2003.0416666666667,Nanumea,WM,1,528769949677.95135,0.0,0.0
151,118,2496587.230289244,2496547.697430693,-727694.8217514841,-727626.2659801273,-97.25976608973428,-71.25583124354182,-1.734146577544643,0.576652523465397,2496567.463859969,-727660.5438658057,3601753.3791962685,-2167312.471902263,499.54659544796885,866.2870188201733,2495701.1768411486,-728160.0904612537,-0.209993739439559,29.97000752714925,10.501199425339136,240.02999247285075,2002.375,2003.0416666666667,Nanumea,WM,1,529539753603.9242,0.0,0.0
160,127,2496444.4117263984,2496459.446847641,-727010.8013817009,-726933.8659825169,-97.27542363907058,-71.25904324833421,5.117045479250841,-0.19542527109733734,2496451.9292870197,-726972.3336821089,-13501430.392607292,-239102.53861972224,191.79712177390425,981.4345949064798,2495470.4946921133,-726780.536560335,-3.2576391283342634,-11.057680780136076,-9.612115533050009,281.0576807801361,2002.375,2003.0416666666667,Nanumea,WM,1,528544705325.66296,0.0,0.0
161,128,2496459.446847641,2496409.4377069576,-726933.8659825169,-726956.3529101032,-97.27747773615957,-71.25915586343709,0.44965634839933455,-2.2239205641369297,2496434.4422772992,-726945.10944631,-1849482.7047790496,4824926.783753883,912.0387574158384,410.1040172582725,2496844.5462945574,-727857.1482037258,22.839203100694217,-65.78863083029738,3.335098131718677,155.7886308302974,2002.375,2003.0416666666667,Nanumea,WM,1,528432845512.28784,0.0,0.0
162,129,2496409.4377069576,2496394.0498273275,-726956.3529101032,-727033.2510457056,-97.27644807725069,-71.25948753784247,4.99731850333229,-0.20010731742096974,2496401.7437671423,-726994.8019779044,-13202309.42785644,-227446.5458276305,196.2173179564463,980.5604336979842,2497382.30420084,-727191.0192958609,-3.1578656265133636,-11.315844693611947,-20.800701916975402,101.31584469361195,2002.375,2003.0416666666667,Nanumea,WM,1,528465539036.35846,0.0,0.0
163,130,2496394.0498273275,2496387.0026450986,-727033.2510457056,-727111.2595750991,-97.27439155280686,-71.25937784277559,11.06946391619636,-0.09033861147845139,2496390.526236213,-727072.2553104024,-28360777.106216602,-501551.80146226235,89.97222292235364,995.9442750989688,2497386.4705113117,-727162.2275333247,4.984655751018626,-5.162009098509071,29.58503251453278,95.16200909850907,2002.375,2003.0416666666667,Nanumea,WM,1,528577348126.088,0.0,0.0
164,131,2496387.0026450986,2496599.996378507,-727111.2595750991,-726948.7613314894,-97.27238595786994,-71.25919809883595,0.7629249978829247,-1.3107448343873194,2496493.4995118026,-727030.0104532943,-2631667.3082830715,2545235.948113323,795.0405367805232,606.5562998401199,2495886.9432119625,-726234.9699165138,-73.57177771523332,-52.65908461408385,21.13525619238586,322.65908461408384,2002.375,2003.0416666666667,Nanumea,WM,1,528690783800.88715,0.0,0.0
165,132,2496599.996378507,2496592.4709582087,-726948.7613314894,-727013.6175672194,-97.27843002358486,-71.257987412443,8.61828750539719,-0.11603233233676082,2496596.233668358,-726981.1894493544,-22243365.316095047,-437295.30555364216,115.259031361138,993.3354698638784,2497589.569138222,-727096.4484807155,-3.0433081694339323,-6.618565801222981,18.24910374934316,96.61856580122299,2002.375,2003.0416666666667,Nanumea,WM,1,528454501601.3868,0.0,0.0
166,133,2496592.4709582087,2496633.229298768,-727013.6175672194,-727081.5725665141,-97.27674699202677,-71.25785133352353,-1.6672660947916056,0.5997842834589591,2496612.8501284886,-727047.5950668668,3435470.3617733982,-2224476.7444556123,514.3597246813285,857.5745294875239,2497470.4246579763,-726533.2353421855,-2.385989986543869,30.954667691161944,37.98392966595354,59.04533230883806,2002.375,2003.0416666666667,Nanumea,WM,1,528548800128.1752,0.0,0.0
159,126,2496428.3565937206,2496444.4117263984,-727087.437747101,-727010.8013817009,-97.27336739864076,-71.25893966579758,4.7733249508498385,-0.20949757460404217,2496436.3841600595,-727049.119564401,-12643351.200284965,-204051.75192958367,205.04623068977372,978.7522890292089,2495457.63187103,-726844.0733337112,-19.865878983629283,-11.832205361941831,-37.497480031906406,281.8322053619418,2002.375,2003.0416666666667,Nanumea,WM,1,528656142129.6444,0.0,0.0
149,116,2496585.644583069,2496587.9579146104,-727851.0638839871,-727771.7368101749,-97.25586823284627,-71.25537073771102,34.29126884130251,-0.02916194220248679,2496586.8012488396,-727811.400347081,-86338940.58761851,-655006.0803455709,29.149550172727412,999.5750615760317,2495587.2261872636,-727782.2507969083,-8.74190545413258,-1.670382809585519,22.443719960183056,271.67038280958553,2002.375,2003.0416666666667,Nanumea,WM,1,529767171197.05194,0.0,0.0
148,115,2496568.82731287,2496585.644583069,-727928.5977391365,-727851.0638839871,-97.25378302900414,-71.25527028790998,4.610371019356532,-0.21690228309208173,2496577.2359479694,-727889.8308115618,-12238037.167011315,-186376.52841872838,211.97327895980698,977.275462194272,2495599.960485775,-727677.8575326019,-8.647034665291423,-12.238016548348833,-3.183981204115627,282.2380165483488,2002.375,2003.0416666666667,Nanumea,WM,1,529880043406.46564,0.0,0.0
150,117,2496587.9579146104,2496587.230289244,-727771.7368101749,-727694.8217514841,-97.25786142815896,-71.2555925031215,-105.7069506549793,0.009460115856183723,2496587.5941019272,-727733.2792808295,263178928.33628505,-751351.2871661447,9.45969257377395,999.9552561071969,2495587.63884582,-727742.7389734032,-7.035858248337578,0.5420085438489909,15.37678017171998,269.45799145615103,2002.375,2003.0416666666667,Nanumea,WM,1,529651700899.6985,0.0,0.0
